workerid,item,response,response_type,partial,condition,batch,y,sentence,election
1692,8,they are obligated to attend the swearing in.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,neutral,8,Harris-Trump
1943,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
1876,11,FOLLOWED BY THE PRESS WHEREVER THEY GO,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2100,5,they made.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2764,4,he is sworn into office.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,he,4,Harris-Trump
2894,11,they go and whatever they do.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2625,8,he/she will be the leader of the United States of America.,hedged,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,neutral,8,Harris-Trump
2112,4,they are sworn into office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2570,3,defend him from injury.,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,he,3,Harris-Trump
2782,1,the new president will likely do is meet with their key advisors to discuss immediate policy priorities and challenges facing the nation.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
1617,11,"they go, asking repeatedly if the election was completed fairly.",pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
1574,4,she is sworn in and becomes the first female president of the United States.,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,she,4,Harris-Trump
2316,11,they go,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2653,5,she made during her campaign.,pronoun female,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,she,5,Harris-Trump
1590,11,they go,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2787,3,do the best they possibly can given the difficult nature of securing a person of such high public interest.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,neutral,3,Harris-Trump
2716,2,"That depends on who is elected. If Donald Trump is elected, he will ddiscuss immigration and the economy. If Harris is elected, she will discuss the new taxes that she plans to implement.",pronoun female,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event,pre,she,2,Harris-Trump
2472,4,they are sworn into office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2124,11,they go to prepare for the necessary presidential transitions and training needed.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2184,5,they made.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2608,12,that the president arrives at their destination safely.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event,pre,neutral,12,Harris-Trump
2936,1,the president will do is appoint her/his cabinet.,pronoun female,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,she,1,Harris-Trump
1650,12,the safety of their arrival.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event,pre,neutral,12,Harris-Trump
2066,5,they might fix the inflation.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2135,11,he/she goes under a microscope in order to see how this person helps the country after this important election.,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
1878,1,they will do is sit on a comfy chair.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
2125,11,they go for precaution and general security concerns.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2043,3,their family,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,neutral,3,Harris-Trump
2667,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2117,5,he made during the campaign,pronoun male,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,he,5,Harris-Trump
2741,5,they made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2082,5,she made on the campaign trail.,pronoun female,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,she,5,Harris-Trump
2579,12,their safety.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event,pre,neutral,12,Harris-Trump
2057,4,They are elected,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2032,11,he goes to speak to the public or meet with dignitaries.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,he,11,Harris-Trump
1414,4,they take office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
1754,1,they will do is assemble a meeting.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
2272,3,his family.,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,he,3,Harris-Trump
1578,11,he or she goes.,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
1726,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2281,4,they take the oath and begin their term.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
1904,11,he goes.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,he,11,Harris-Trump
1699,2,about the new freedom economy that she is fixing to try to install,pronoun female,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event,pre,she,2,Harris-Trump
2519,2,How they will bring down inflation and make the us more affordable.,pronoun neutral,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event,pre,neutral,2,Harris-Trump
2192,4,he/she accepts the honor,hedged,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2932,1,The President does is pick his cabinet members,pronoun male,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,he,1,Harris-Trump
1931,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2025,3,follow him everywhere he goes,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,he,3,Harris-Trump
2733,1,they will do is,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
2739,5,they made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2704,3,ensure their safety.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,neutral,3,Harris-Trump
1600,4,they are sworn into office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
2760,4,they give their speech.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,neutral,4,Harris-Trump
1583,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2784,4,she takes the oath,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event,pre,she,4,Harris-Trump
1770,1,the newly elected president will do is settle in to their new home.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
2279,5,they make on the campaign trail.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2485,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
1436,8,they are responsible for the well-being of the United States.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,neutral,8,Harris-Trump
2092,10,waiting to drive him or her to the White House after the swearing in ceremony.,pronoun female,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event,pre,she,10,Harris-Trump
1805,5,he or she spoke about while campaigning.,hedged,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2133,11,he goes in the United States.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,he,11,Harris-Trump
2098,1,she will do is come up with a plan to fix the economy.,pronoun female,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,she,1,Harris-Trump
1565,8,she will be responsible for leading the US's ongoing support of Ukraine.,pronoun female,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event,pre,she,8,Harris-Trump
2620,2,Her plans of action for the next four years of her presidency.,pronoun female,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event,pre,she,2,Harris-Trump
2540,9,the problems is the Maga crowd trying to over turn the election like they did for the last election,pronoun neutral,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event,pre,neutral,9,Harris-Trump
2724,1,they will do is assemble their cabinet.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
1945,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
2843,5,they made during the campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
2493,1,the president will do will be implementing their policy.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
1800,9,them will be trump falsely trying to claim the election was stolen from him.,pronoun male,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event,pre,he,9,Harris-Trump
2390,11,she goes,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,she,11,Harris-Trump
2513,1,the president will do is to set up their household.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,neutral,1,Harris-Trump
2640,3,"their family, ensuring their safety and security during the transition period and throughout their time in office.",pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event,pre,neutral,3,Harris-Trump
2495,1,she will do as President is provide rehabilitation to individuals who have been wrongfully jailed due to cannabis consumption.,pronoun female,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event,pre,she,1,Harris-Trump
2928,11,he goes and they will report on everything he does.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,he,11,Harris-Trump
2880,5,they will stop the influx of illegal immigrants coming over our southern border.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event,pre,neutral,5,Harris-Trump
1780,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event,pre,neutral,11,Harris-Trump
