workerid,condition,response,candidate,probability,batch
3597,event-spr,8,harris,0.06611570247933884,post
3597,event-spr,100,trump,0.8264462809917356,post
3597,event-spr,13,other,0.10743801652892562,post
4885,cloze-event,100,trump,0.9345794392523364,post
4885,cloze-event,3,harris,0.028037383177570093,post
4885,cloze-event,4,other,0.037383177570093455,post
3504,cloze-event,98,trump,0.98989898989899,post
3504,cloze-event,1,harris,0.010101010101010102,post
3504,cloze-event,0,other,0,post
4906,event-maze,26,harris,0.26,post
4906,event-maze,74,trump,0.74,post
4906,event-maze,0,other,0,post
4418,cloze-event,100,trump,1,post
4418,cloze-event,0,harris,0,post
4418,cloze-event,0,other,0,post
4725,event-spr,0,harris,0,post
4725,event-spr,100,trump,1,post
4725,event-spr,0,other,0,post
4218,maze-event,0,harris,0,post
4218,maze-event,100,trump,1,post
4218,maze-event,0,other,0,post
3965,event-cloze,100,trump,1,post
3965,event-cloze,0,harris,0,post
3965,event-cloze,0,other,0,post
3391,spr-event,100,trump,1,post
3391,spr-event,0,harris,0,post
3391,spr-event,0,other,0,post
3522,event-maze,0,harris,0,post
3522,event-maze,100,trump,1,post
3522,event-maze,0,other,0,post
4721,cloze-event,0,harris,0,post
4721,cloze-event,100,trump,1,post
4721,cloze-event,0,other,0,post
3555,event-cloze,0,harris,0,post
3555,event-cloze,100,trump,1,post
3555,event-cloze,0,other,0,post
3432,event-spr,2,harris,0.019417475728155338,post
3432,event-spr,100,trump,0.970873786407767,post
3432,event-spr,1,other,0.009708737864077669,post
4494,spr-event,0,harris,0,post
4494,spr-event,100,trump,1,post
4494,spr-event,0,other,0,post
3668,cloze-event,100,trump,1,post
3668,cloze-event,0,harris,0,post
3668,cloze-event,0,other,0,post
4355,maze-event,12,harris,0.11764705882352941,post
4355,maze-event,90,trump,0.8823529411764706,post
4355,maze-event,0,other,0,post
3751,cloze-event,0,harris,0,post
3751,cloze-event,100,trump,1,post
3751,cloze-event,0,other,0,post
4267,spr-event,0,harris,0,post
4267,spr-event,100,trump,1,post
4267,spr-event,0,other,0,post
3327,event-maze,0,harris,0,post
3327,event-maze,100,trump,1,post
3327,event-maze,0,other,0,post
3811,cloze-event,100,trump,1,post
3811,cloze-event,0,harris,0,post
3811,cloze-event,0,other,0,post
4764,spr-event,100,trump,1,post
4764,spr-event,0,harris,0,post
4764,spr-event,0,other,0,post
3816,event-cloze,100,trump,1,post
3816,event-cloze,0,harris,0,post
3816,event-cloze,0,other,0,post
3837,spr-event,9,harris,0.08737864077669903,post
3837,spr-event,94,trump,0.912621359223301,post
3837,spr-event,0,other,0,post
3729,event-maze,0,harris,0,post
3729,event-maze,100,trump,1,post
3729,event-maze,0,other,0,post
3426,maze-event,0,harris,0,post
3426,maze-event,100,trump,1,post
3426,maze-event,0,other,0,post
4763,event-maze,2,harris,0.0196078431372549,post
4763,event-maze,100,trump,0.9803921568627451,post
4763,event-maze,0,other,0,post
4493,spr-event,97,trump,0.97,post
4493,spr-event,3,harris,0.03,post
4493,spr-event,0,other,0,post
3836,spr-event,98,trump,1,post
3836,spr-event,0,harris,0,post
3836,spr-event,0,other,0,post
4824,cloze-event,0,harris,0,post
4824,cloze-event,99,trump,1,post
4824,cloze-event,0,other,0,post
3674,maze-event,24,harris,0.16216216216216217,post
3674,maze-event,100,trump,0.6756756756756757,post
3674,maze-event,24,other,0.16216216216216217,post
3683,event-cloze,100,trump,1,post
3683,event-cloze,0,harris,0,post
3683,event-cloze,0,other,0,post
4188,cloze-event,0,harris,0,post
4188,cloze-event,100,trump,1,post
4188,cloze-event,0,other,0,post
4671,event-maze,100,trump,0.9803921568627451,post
4671,event-maze,1,harris,0.00980392156862745,post
4671,event-maze,1,other,0.00980392156862745,post
4484,event-maze,100,trump,1,post
4484,event-maze,0,harris,0,post
4484,event-maze,0,other,0,post
4548,maze-event,95,harris,0.8260869565217391,post
4548,maze-event,2,trump,0.017391304347826087,post
4548,maze-event,18,other,0.1565217391304348,post
3490,spr-event,100,trump,1,post
3490,spr-event,0,harris,0,post
3490,spr-event,0,other,0,post
4408,event-spr,100,trump,1,post
4408,event-spr,0,harris,0,post
4408,event-spr,0,other,0,post
4094,maze-event,0,harris,0,post
4094,maze-event,100,trump,1,post
4094,maze-event,0,other,0,post
4512,cloze-event,0,harris,0,post
4512,cloze-event,100,trump,1,post
4512,cloze-event,0,other,0,post
4223,maze-event,0,harris,0,post
4223,maze-event,93,trump,1,post
4223,maze-event,0,other,0,post
4207,cloze-event,100,trump,1,post
4207,cloze-event,0,harris,0,post
4207,cloze-event,0,other,0,post
3461,spr-event,99,trump,0.9428571428571428,post
3461,spr-event,3,harris,0.02857142857142857,post
3461,spr-event,3,other,0.02857142857142857,post
4306,spr-event,100,trump,1,post
4306,spr-event,0,harris,0,post
4306,spr-event,0,other,0,post
3594,event-cloze,0,harris,0,post
3594,event-cloze,100,trump,1,post
3594,event-cloze,0,other,0,post
3692,cloze-event,0,harris,0,post
3692,cloze-event,100,trump,1,post
3692,cloze-event,0,other,0,post
4581,spr-event,98,trump,0.98,post
4581,spr-event,2,harris,0.02,post
4581,spr-event,0,other,0,post
4403,event-cloze,100,trump,1,post
4403,event-cloze,0,harris,0,post
4403,event-cloze,0,other,0,post
3875,event-cloze,95,trump,0.9405940594059405,post
3875,event-cloze,0,harris,0,post
3875,event-cloze,6,other,0.0594059405940594,post
4840,spr-event,0,harris,0,post
4840,spr-event,100,trump,1,post
4840,spr-event,0,other,0,post
4631,spr-event,0,harris,0,post
4631,spr-event,100,trump,1,post
4631,spr-event,0,other,0,post
4108,spr-event,94,trump,0.9690721649484536,post
4108,spr-event,0,harris,0,post
4108,spr-event,3,other,0.030927835051546393,post
4029,maze-event,100,trump,0.9259259259259259,post
4029,maze-event,4,harris,0.037037037037037035,post
4029,maze-event,4,other,0.037037037037037035,post
4266,event-spr,100,trump,0.7936507936507936,post
4266,event-spr,22,harris,0.1746031746031746,post
4266,event-spr,4,other,0.031746031746031744,post
3463,spr-event,0,harris,0,post
3463,spr-event,100,trump,1,post
3463,spr-event,0,other,0,post
3556,event-spr,26,trump,0.25,post
3556,event-spr,78,harris,0.75,post
3556,event-spr,0,other,0,post
3986,event-spr,100,trump,1,post
3986,event-spr,0,harris,0,post
3986,event-spr,0,other,0,post
4247,spr-event,0,harris,0,post
4247,spr-event,100,trump,1,post
4247,spr-event,0,other,0,post
3500,cloze-event,100,trump,1,post
3500,cloze-event,0,harris,0,post
3500,cloze-event,0,other,0,post
4868,spr-event,0,harris,0,post
4868,spr-event,100,trump,1,post
4868,spr-event,0,other,0,post
4237,event-maze,0,harris,0,post
4237,event-maze,100,trump,1,post
4237,event-maze,0,other,0,post
3280,maze-event,0,trump,0,post
3280,maze-event,0,harris,0,post
3280,maze-event,100,other,1,post
4062,cloze-event,1,harris,0.00980392156862745,post
4062,cloze-event,100,trump,0.9803921568627451,post
